    Mauritius,1330.4,2050.3,2487.7,2235.4,1058.1,1596.3
  ASEAN,29959.2,30280.2,29280.9,29882.4,24288.8,18832.7
  European Union (EU-27),47750.4,44910.3,44358.1,35425.5,30826.5,21147.2
"Singapore's Portfolio Investment Liabilities - Debt Securities (Instrument)",268194.3,253793.6,191914.5,128378.1,118994.7,100962.6
  Asia,78279.1,72474.7,59880.7,48562.9,49589.4,43291.1
    Mainland China,26461.1,23122.2,20371.2,19744.3,20136.2,19862.2
    Hong Kong,29377.8,26861,16888.9,10136.7,12640.6,10131.5
    India,1521.3,1407.6,964.6,1206.7,1234.2,370.4
    Indonesia,1175.4,1067.2,918.4,1021.6,387.7,417.6
    Japan,3961.3,6206.7,7904.8,4340.1,4344.3,2892.9
    Republic Of Korea,4437.1,3916.1,3810.7,2621,2329.5,598.8
    Malaysia,4062,3704.7,3499.4,2773,1669.6,3703.4
    Myanmar,9.5,8.5,9.2,16.7,10.8,10.7
    Philippines,1266.5,878.2,914.8,583.3,270.3,246.7
    Taiwan,2026.7,1503,1070.7,296,255.2,274.2
    Thailand,993.8,893.2,866.4,1076.7,908.4,845.3
    Vietnam,64.1,60.9,17.3,9.3,5.7,3.8
  Europe,95320.2,77954.6,51870.9,29500.5,27095.1,23071.8
    Germany,2993.1,2796.2,2492.5,2656.4,2919.6,3252.5
    Luxembourg,9171.1,8434.6,7509,5591.3,4766.8,5107.6
    United Kingdom,27611.7,22304.8,14315.3,10589.5,10564.5,5262.6
    Belgium,25362.6,19472.2,9572.5,1777.7,1402.9,2167.6
  North America,57323.5,69702.1,49489.7,24630.4,20871.2,16692.8
    Canada,2926.8,2962.8,2780.9,1661.9,1147.4,646.8
    United States of America,54396.8,66739.3,46708.8,22968.4,19723.8,16046
  Oceania,3358.2,3598.5,2517.7,2628.6,2031.1,1679.3
    Australia,2814.7,3063,2000.1,2206.4,1735,1436.1
    New Zealand,301.6,308.4,322.1,306.4,208.4,191.4
  South And Central America And The Caribbean,22381.5,21817.2,19511.8,17032.6,13882.9,11353.5
    Bermuda,1523.5,1459.1,1705,1337.4,800.4,534.8
    British Virgin Islands,6078.7,5850.1,5620.2,5250,4476.8,5528.8
    Cayman Islands,14469.3,14156.7,11937.5,10145.7,8322.9,5018.4
  Africa,6196,5706,5358.8,4080.8,3494.2,2733.1
    Mauritius,5956.1,5476.2,5173.2,3913.9,3409.2,2667.3
  ASEAN,8669.6,8189.5,7613,8273.4,7520.4,8350
  European Union (EU-27),54547,43342.7,29136.8,15714.4,14424.2,15401.8
,,,,,,
Definitions and Footnotes:,,,,,,
"For more information on international investment position methodologies, please visit Singstat website (www.singstat.gov.sg/find-data/search-by-theme/economy/international-investment-position/publications-and-methodology) to view and download related publications.",,,,,,
,,,,,,
Portfolio Investment:,,,,,,
"Portfolio investment refers to cross-border investments by an investor in one economy into an enterprise that is resident in another economy with a lesser degree of influence than that of a direct investment relationship. Portfolio investment takes the form of either equity and investment fund shares or debt securities investment and is often associated with, but not limited to, trading of securities on organised or other financial markets.",,,,,,
,,,,,,
Notation:,,,,,,
na   not available or not applicable,,,,,,
nec  not elsewhere classified,,,,,,
nes  not elsewhere specified,,,,,,
 -     nil or negligible or not significant,,,,,,
Notes,,,,,,
Numbers may not add up to the totals due to rounding.,,,,,,
"Data are the latest available at the time of access or download. Some statistics, particularly those for the most recent time periods, are provisional and may be subject to revision at a later date.",,,,,,
Values are shown in Singapore dollars (unless otherwise specified).,,,,,,
,,,,,,
Generated by: SingStat Table Builder,,,,,,
Date generated: 20/07/2025,,,,,,
Contact: info@singstat.gov.sg,,,,,,
